ts_entry,ts_exit,sym,dir,entry,exit,shares,stop,rvol,pnl,reason,bars
2025-11-18 09:46:00-05:00,2025-11-18 09:57:00-05:00,NFLX,long,110.58112208712001,112.12391000000001,3,110.58112208712001,3.8722566377681926,4.6283637386400045,partial_tp,11
2025-11-18 09:46:00-05:00,2025-11-18 12:32:00-05:00,NFLX,long,110.58112208712001,112.26783800000001,4,112.32400000000001,3.8722566377681926,6.746863651520016,stop,166
2025-11-19 09:42:00-05:00,2025-11-19 11:12:00-05:00,TGT,long,89.0892849345,86.87653999999999,3,85.88,7.207038175956687,-6.638234803500026,time_stop,90
2025-11-20 09:39:00-05:00,2025-11-20 09:55:00-05:00,WMT,long,104.56503451649999,106.38678,2,104.56503451649999,3.346318640283438,3.6434909670000195,partial_tp,16
2025-11-20 09:39:00-05:00,2025-11-20 15:59:00-05:00,WMT,long,104.56503451649999,107.116415,3,104.56503451649999,3.346318640283438,7.654141450500035,eod,379
2025-12-05 09:37:00-05:00,2025-12-05 10:27:00-05:00,NFLX,long,100.830852087,103.88803,1,100.830852087,6.183226799019965,3.057177913000004,partial_tp,50
2025-12-05 09:37:00-05:00,2025-12-05 11:27:00-05:00,NFLX,long,100.830852087,100.7804366609565,2,100.830852087,6.183226799019965,-0.10083085208700027,stop,110
2025-12-05 09:43:00-05:00,2025-12-05 15:59:00-05:00,ADBE,long,337.2881414397,346.11685500000004,1,337.2881414397,3.0518886859159435,8.82871356030006,eod,375
2025-12-19 09:50:00-05:00,2025-12-19 10:01:00-05:00,ABBV,long,224.36453046,225.837025,2,224.36453046,15.649939901884263,2.9449890800000276,partial_tp,11
2025-12-19 09:50:00-05:00,2025-12-19 11:55:00-05:00,ABBV,long,224.36453046,226.318784,2,226.43200000000002,15.649939901884263,3.9085070799999926,stop,125
2026-01-02 09:38:00-05:00,2026-01-02 10:35:00-05:00,ENPH,long,33.293511357,34.372805,5,33.293511357,3.467532789470013,5.396468214999999,partial_tp,57
2026-01-02 09:38:00-05:00,2026-01-02 15:59:00-05:00,ENPH,long,33.293511357,33.713134999999994,5,33.293511357,3.467532789470013,2.098118214999971,eod,379
2026-01-05 10:26:00-05:00,2026-01-05 10:41:00-05:00,SLB,long,43.844004405,44.733821899999995,6,43.844004405,7.921382273044611,5.338904969999973,partial_tp,15
2026-01-05 10:26:00-05:00,2026-01-05 11:02:00-05:00,SLB,long,43.844004405,43.8220824027975,6,43.844004405,7.921382273044611,-0.13153201321500774,stop,36
2026-01-05 11:02:00-05:00,2026-01-05 12:42:00-05:00,SLB,long,43.843872388499996,44.707634999999996,6,43.843872388499996,7.921382273044611,5.182575669000002,partial_tp,100
2026-01-05 11:02:00-05:00,2026-01-05 15:51:00-05:00,SLB,long,43.843872388499996,43.82195045230574,6,43.843872388499996,7.921382273044611,-0.1315316171655212,stop,289
2026-01-13 09:48:00-05:00,2026-01-13 11:18:00-05:00,AMD,long,221.461686177,219.61513749999997,1,214.975,3.890390540299208,-1.8465486770000155,time_stop,90
2026-01-14 09:37:00-05:00,2026-01-14 11:26:00-05:00,MRNA,long,40.6566072225,40.63627891888875,7,40.6566072225,3.064264048313977,-0.14229812527875652,stop,109
2026-01-16 09:42:00-05:00,2026-01-16 10:20:00-05:00,RIOT,long,18.0582746331,18.850569999999998,7,18.0582746331,4.417281270297811,5.546067568299971,partial_tp,38
2026-01-16 11:13:00-05:00,2026-01-16 12:44:00-05:00,ABBV,long,216.376861701,215.54207505,4,214.61,6.495529634673456,-3.339146604000007,time_stop,90
2026-01-16 09:42:00-05:00,2026-01-16 15:59:00-05:00,RIOT,long,18.0582746331,19.220385,7,18.0582746331,4.417281270297811,8.13477256829999,eod,376
2026-01-20 09:39:00-05:00,2026-01-20 10:07:00-05:00,RIOT,long,18.3184738515,17.83108,22,17.84,3.017559521769681,-10.722664732999966,stop,28
2026-01-20 10:36:00-05:00,2026-01-20 12:13:00-05:00,RIOT,long,18.318365838000002,18.81059,11,18.318365838000002,3.017559521769681,5.4144657819999935,partial_tp,97
2026-01-20 10:36:00-05:00,2026-01-20 14:30:00-05:00,RIOT,long,18.318365838000002,18.309206655081002,11,18.318365838000002,3.017559521769681,-0.10075101210899362,stop,234
2026-01-21 09:46:00-05:00,2026-01-21 11:16:00-05:00,NFLX,long,83.783852388,83.1534025,5,81.93,5.6177651522441945,-3.1522494400000056,time_stop,90
2026-01-22 09:46:00-05:00,2026-01-22 09:53:00-05:00,MRNA,long,51.541991211,53.147213099999995,3,51.541991211,3.6451844957434547,4.815665666999976,partial_tp,7
2026-01-22 09:46:00-05:00,2026-01-22 10:25:00-05:00,MRNA,long,51.541991211,53.351311,4,53.378,3.6451844957434547,7.237279156,stop,39
2026-01-22 10:25:00-05:00,2026-01-22 10:26:00-05:00,MRNA,long,51.542991336,53.678147499999994,3,51.542991336,3.6451844957434547,6.405468491999983,partial_tp,1
2026-01-22 10:25:00-05:00,2026-01-22 11:42:00-05:00,MRNA,long,51.542991336,54.020976,4,54.048,3.6451844957434547,9.91193865599999,stop,77
2026-01-27 10:11:00-05:00,2026-01-27 11:18:00-05:00,ENPH,long,39.439547958,40.13992,7,39.439547958,3.083450992048748,4.902604293999985,partial_tp,67
2026-01-27 10:11:00-05:00,2026-01-27 15:59:00-05:00,ENPH,long,39.439547958,39.900040000000004,8,39.439547958,3.083450992048748,3.6839363360000448,eod,347
2026-02-02 10:42:00-05:00,2026-02-02 12:14:00-05:00,DIS,long,106.49654064899998,106.4417525,4,103.75,8.680353088955911,-0.21915259599990122,time_stop,92
2026-02-03 09:56:00-05:00,2026-02-03 12:06:00-05:00,PFE,long,25.765782578999996,25.7521175,22,25.26,3.755316313190056,-0.3006317379999004,time_stop,130
2026-02-04 09:38:00-05:00,2026-02-04 11:18:00-05:00,SMCI,long,33.604125426,33.52472925,5,31.7,6.513921095877231,-0.3969808800000152,time_stop,100
2026-02-04 11:21:00-05:00,2026-02-04 12:51:00-05:00,SMCI,long,33.603657367500006,32.013985000000005,5,31.7,6.513921095877231,-7.948361837500002,time_stop,90
2026-02-05 09:49:00-05:00,2026-02-05 11:19:00-05:00,QCOM,long,137.28763577400002,137.03144999999998,2,132.73,5.8823018802635065,-0.5123715480000897,time_stop,90
2026-02-05 11:26:00-05:00,2026-02-05 13:39:00-05:00,QCOM,long,137.287667778,137.19636749999998,2,132.73,5.8823018802635065,-0.18260055600006808,time_stop,133
2026-02-05 09:37:00-05:00,2026-02-05 15:59:00-05:00,GOOG,long,315.53832406602004,331.104365,1,326.004,3.835521485171418,15.566040933979934,eod,381
2026-02-06 10:31:00-05:00,2026-02-06 12:33:00-05:00,AMZN,long,204.9449324955,209.57516,1,204.9449324955,5.47947338215723,4.630227504499999,partial_tp,122
2026-02-06 09:38:00-05:00,2026-02-06 15:59:00-05:00,HOOD,long,80.811170127,82.77359249999999,2,80.811170127,4.151754696212303,3.924844745999991,eod,380
